Unnamed: 0,Author,Category,Gender,Quote,Quote_tok,SA,num,count,counts
129,�Kate Chopin,Literature,F,"The voice of the sea is seductive, never ceasing, whispering, clamoring, murmuring, inviting the soul to wander in abysses of solitude",The voice sea seductive never ceasing whispering clamoring murmuring inviting soul wander abysses solitude,0.3182,,1,1
130,�Jane Austen,Literature,F,"I wish, as well as everybody else, to be perfectly happy; but, like everybody else, it must be in my own way",I wish well everybody else perfectly happy like everybody else must way,0.9349,,2,2
131,�Marilynne Robinson,Literature,F,Love is holy because it is like grace � the worthiness of its object is never really what matters.,Love holy like grace worthiness object never really matters,0.8485,,1,1
132,Edith Wharton,Literature,F,Each time you happen to me all over again.,Each time happen,0.0,,3,3
133,Angie Thomas,Literature,F,Brave doesn�t mean you�re not scared. It means you go on even though you�re scared,Brave mean scared It means go even though scared,-0.34,,1,1
134,�Chimamanda Ngozi Adichie,Literature,F,"How easy it was to lie to strangers, to create with strangers the versions of our lives we imagined",How easy lie strangers create strangers versions lives imagined,0.6124,,1,1
135,Madeleine L�Engle,Literature,F,"Life, with its rules, its obligations, and its freedoms, is like a sonnet: You�re given the form, but you have to write the sonnet yourself.",Life rules obligations freedoms like sonnet You given form write sonnet,0.5719,,1,1
136,Alice Walker,Literature,F,"Time moves slowly, but passes quickly",Time moves slowly passes quickly,0.0,,1,1
137,Amy Tan,Literature,F,Then you must teach my daughter this same lesson. How to lose your innocence but not your hope. How to laugh forever,Then must teach daughter lesson How lose innocence hope How laugh forever,0.7506,,1,1
138,�Suzanne Collins,Literature,F,And may the odds be ever in your favor.,And may odds ever favor,0.4019,,1,1
139,Leo Tolstoy,literature,M,"In his Petersburg world, all people were divided into two completely opposite sorts. One was the inferior sort: the banal, stupid and, above all, ridiculous people who believed that one husband should live with one wife, whom he has married in a church, that a girl should be innocent, a woman modest, a man manly, temperate and firm, that one should raise children, earn one�s bread, pay one�s debts, and other such stupidities. This was an old-fashioned and ridiculous sort of people. But there was another sort of people, the real ones, to which they all belonged, and for whom one had, above all, to be elegant, handsome, magnanimous, bold, gay, to give oneself to every passion without blushing and laugh at everything else.",In Petersburg world people divided two completely opposite sorts One inferior sort banal stupid ridiculous people believed one husband live one wife married church girl innocent woman modest man manly temperate firm one raise children earn one bread pay one debts stupidities This old fashioned ridiculous sort people But another sort people real ones belonged one elegant handsome magnanimous bold gay give oneself every passion without blushing laugh everything else,-0.4809,,1,1
140,D. H. Lawrence,literature,M,I prefer unlucky things. Luck is vulgar. Who wants what luck would bring? I don�t.,I prefer unlucky things Luck vulgar Who wants luck would bring I,0.7184,,2,2
141,Gustave Flaubert,literature,M,"Human speech is like a cracked kettle on which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars.",Human speech like cracked kettle tap crude rhythms bears dance long make music melt stars,-0.296,,1,1
142,William Golding,literature,M,"They looked at each other, baffled, in love and hate.",They looked baffled love hate,0.128,,1,1
143,Ernest Hemingway,literature,M,"I never liked to hunt, you know. There was always the danger of having a horse fall on you.",I never liked hunt know There always danger horse fall,-0.6939,,1,1
144,Lewis Carroll,literature,M,"�Begin at the beginning,� the King said gravely, �and go on till you come to the end: then stop.�",Begin beginning King said gravely go till come end stop,-0.5719,,1,1
145,Jane Austen,literature,F,I do suspect that he is not really necessary to my happiness.,I suspect really necessary happiness,0.3976,,4,4
146,Joseph Conrad,literature,M,"You can�t breathe dead hippo waking, sleeping, and eating, and at the same time keep your precarious grip on existence.",You breathe dead hippo waking sleeping eating time keep precarious grip existence,-0.6486,,1,1
147,Sophocles,literature,M,"Time, which sees all things, has found you out.",Time sees things found,0.0,,1,1
